Dataset,Model,Accuracy,Precision,Recall,F1-Score,CV-Acc,CV-Std,ROC-AUC
Baseline (24 feat),SVM (RBF),0.858139534883721,0.8210526315789474,0.8524590163934426,0.8364611260053619,0.8584669593971919,0.008355231408992173,0.9376119997345191
Baseline (24 feat),SVM (Linear),0.8744186046511628,0.837696335078534,0.8743169398907104,0.8556149732620321,0.8826714370900419,0.013138527769648864,0.9450675870002875
Baseline (24 feat),Random Forest,0.8465116279069768,0.8128342245989305,0.8306010928961749,0.8216216216216217,0.852873637989917,0.01459378084449144,0.9285635273555896
Baseline (24 feat),KNN,0.8162790697674419,0.7653061224489796,0.819672131147541,0.7915567282321899,0.8286745812327208,0.014651128442219542,0.8919382314550564
Baseline (24 feat),Logistic Regression,0.8651162790697674,0.8205128205128205,0.8743169398907104,0.8465608465608465,0.8770867891798124,0.012163138963045118,0.942302161456605
Baseline (24 feat),Gradient Boosting,0.8534883720930233,0.8370786516853933,0.8142076502732241,0.8254847645429363,0.8556762617227733,0.018358512735852837,0.9243600805291918
Baseline (24 feat),Naive Bayes,0.7651162790697674,0.6915887850467289,0.8087431693989071,0.7455919395465995,0.762105491407817,0.006923756533531517,0.8462312780690692
Top-10 ANOVA,SVM (RBF),0.8209302325581396,0.7819148936170213,0.8032786885245902,0.7924528301886793,0.8240093240093241,0.01934596186338526,0.907634786840999
Top-10 ANOVA,SVM (Linear),0.8302325581395349,0.7956989247311828,0.8087431693989071,0.8021680216802168,0.8272727272727274,0.018888436737799535,0.9055994336408487
Top-10 ANOVA,Random Forest,0.8232558139534883,0.7891891891891892,0.7978142076502732,0.7934782608695652,0.8207535100558356,0.01677985098318604,0.906119333643061
Top-10 ANOVA,KNN,0.813953488372093,0.7845303867403315,0.7759562841530054,0.7802197802197802,0.8049352198189407,0.0100239990360249,0.8911307271963009
Top-10 ANOVA,Logistic Regression,0.8302325581395349,0.7925531914893617,0.8142076502732241,0.8032345013477089,0.8235507128530385,0.014971066450168168,0.9025906506493218
Top-10 ANOVA,Gradient Boosting,0.8348837209302326,0.8076923076923077,0.8032786885245902,0.8054794520547945,0.8291331923890063,0.016872331223323832,0.9115285060065043
Top-10 ANOVA,Naive Bayes,0.7558139534883721,0.6822429906542056,0.7978142076502732,0.7355163727959698,0.7565121700005422,0.014915605064794921,0.8451582929581203
PCA (5 comp),SVM (RBF),0.8093023255813954,0.7671957671957672,0.7923497267759563,0.7795698924731183,0.8230812598254458,0.01784078215524839,0.902214552775381
PCA (5 comp),SVM (Linear),0.8,0.7566137566137566,0.7814207650273224,0.7688172043010753,0.8123814170325799,0.010718362476556298,0.8939625229530321
PCA (5 comp),Random Forest,0.8511627906976744,0.8051282051282052,0.8579234972677595,0.8306878306878307,0.8337886919282267,0.014950674003899786,0.9095705847215769
PCA (5 comp),KNN,0.8023255813953488,0.7525773195876289,0.7978142076502732,0.7745358090185677,0.8021347644603459,0.009452053465081305,0.8742616313798367
PCA (5 comp),Logistic Regression,0.8023255813953488,0.7634408602150538,0.7759562841530054,0.7696476964769647,0.8114511844744403,0.008220961858375297,0.8927899825225105
PCA (5 comp),Gradient Boosting,0.8325581395348837,0.7875647668393783,0.8306010928961749,0.8085106382978723,0.8216837426139753,0.013369533931383954,0.9059312847060905
PCA (5 comp),Naive Bayes,0.8023255813953488,0.7916666666666666,0.726775956284153,0.7578347578347578,0.7923716593484036,0.01073379284806147,0.8800026548085219
Hybrid (8 feat),SVM (RBF),0.8418604651162791,0.8074866310160428,0.825136612021858,0.8162162162162162,0.8528801431127013,0.011228078421550967,0.9273688635207185
Hybrid (8 feat),SVM (Linear),0.8744186046511628,0.8307692307692308,0.8852459016393442,0.8571428571428571,0.8845405757033664,0.004866195398876548,0.9430543572044866
Hybrid (8 feat),Random Forest,0.913953488372093,0.8882978723404256,0.912568306010929,0.9002695417789758,0.914795901772646,0.014663994912428856,0.9705316254065175
Hybrid (8 feat),KNN,0.8302325581395349,0.7722772277227723,0.8524590163934426,0.8103896103896104,0.8393809291483709,0.01037898665472988,0.894172695294352
Hybrid (8 feat),Logistic Regression,0.8627906976744186,0.8195876288659794,0.8688524590163934,0.843501326259947,0.8719694259229144,0.007994958954561752,0.9375898763301695
Hybrid (8 feat),Gradient Boosting,0.8906976744186047,0.8469387755102041,0.907103825136612,0.8759894459102903,0.9092080013010246,0.012983321103855111,0.9665936594323135
Hybrid (8 feat),Naive Bayes,0.8302325581395349,0.8313253012048193,0.7540983606557377,0.7908309455587392,0.8468357998590557,0.010827325527343105,0.9127010464370257
Robust (24 feat),SVM (RBF),0.858139534883721,0.8177083333333334,0.8579234972677595,0.8373333333333334,0.8612544045102185,0.013826305940440747,0.9379438507997611
Robust (24 feat),SVM (Linear),0.8744186046511628,0.8341968911917098,0.8797814207650273,0.8563829787234043,0.8775508212717515,0.01297164382340554,0.9429437401827393
Robust (24 feat),Random Forest,0.8465116279069768,0.8128342245989305,0.8306010928961749,0.8216216216216217,0.852873637989917,0.01459378084449144,0.9285635273555896
Robust (24 feat),KNN,0.8232558139534883,0.7688442211055276,0.8360655737704918,0.8010471204188482,0.82308776494823,0.020166037429493865,0.8974358974358974
Robust (24 feat),Logistic Regression,0.858139534883721,0.8144329896907216,0.8633879781420765,0.8381962864721485,0.8733636905729929,0.0126903418677297,0.9386960465476428
Robust (24 feat),Gradient Boosting,0.8534883720930233,0.8370786516853933,0.8142076502732241,0.8254847645429363,0.8556762617227733,0.018358512735852837,0.9243600805291918
Robust (24 feat),Naive Bayes,0.7651162790697674,0.6915887850467289,0.8087431693989071,0.7455919395465995,0.762105491407817,0.006923756533531517,0.8462312780690692
Interactions (7 feat),SVM (RBF),0.7395348837209302,0.6839378238341969,0.7213114754098361,0.7021276595744681,0.7481281509188485,0.010877922605850023,0.8067520630074556
Interactions (7 feat),SVM (Linear),0.7418604651162791,0.6875,0.7213114754098361,0.704,0.7537193039518622,0.011360878531231326,0.8243733545718015
Interactions (7 feat),Random Forest,0.7232558139534884,0.6702127659574468,0.6885245901639344,0.6792452830188679,0.7332097360004337,0.02723938066325996,0.8321276077962877
Interactions (7 feat),KNN,0.7255813953488373,0.6570048309178744,0.7431693989071039,0.6974358974358974,0.7127489564698867,0.018634252395564984,0.784927324616712
Interactions (7 feat),Logistic Regression,0.7418604651162791,0.6894736842105263,0.7158469945355191,0.7024128686327078,0.75371605139047,0.011617211568431015,0.8230348886086591
Interactions (7 feat),Gradient Boosting,0.7651162790697674,0.7135416666666666,0.7486338797814208,0.7306666666666667,0.7537106304548165,0.01461108277215098,0.8368620163270725
Interactions (7 feat),Naive Bayes,0.7441860465116279,0.6682027649769585,0.7923497267759563,0.725,0.7476738765110859,0.006928170902557345,0.8223048162651269
